scope,dataset,track,point,method,accuracy,macro_f1,balanced_accuracy,risk
main,HLCA_Core,cpu_core,build_100000_eval10k,atlasmtl,0.8713,0.771325111159163,0.7493678341813332,0.12273459524768426
main,HLCA_Core,cpu_core,build_100000_eval10k,reference_knn,0.7992,0.5947980204574286,0.5730681607160689,0.20079999999999998
main,HLCA_Core,cpu_core,build_100000_eval10k,celltypist,0.8682,0.788282803075943,0.7765443186394699,0.13180000000000003
main,HLCA_Core,cpu_core,build_100000_eval10k,singler,0.7983,0.7474356075932171,0.8028205429293763,0.18282321629644793
main,HLCA_Core,cpu_core,build_100000_eval10k,symphony,0.7086,0.49095664816314066,0.48827149466936415,0.2914
main,HLCA_Core,gpu,build_100000_eval10k,atlasmtl,0.871,0.7616230606276972,0.7487163026377198,0.12144442202945327
main,HLCA_Core,gpu,build_100000_eval10k,scanvi,0.893,0.8096696328929462,0.7879641057588742,0.10699999999999998
main,HLCA_Core,cpu_core,predict_100000_10000,atlasmtl,0.8779,0.7578196404934759,0.7690047300256784,0.11564420267956077
main,HLCA_Core,cpu_core,predict_100000_10000,reference_knn,0.7959,0.6082280307524326,0.572930684206349,0.20409999999999995
main,HLCA_Core,cpu_core,predict_100000_10000,celltypist,0.8644,0.8023358258159367,0.8061983897021764,0.13560000000000005
main,HLCA_Core,cpu_core,predict_100000_10000,singler,0.8071,0.7606298060770457,0.816836097890778,0.17347670250896052
main,HLCA_Core,cpu_core,predict_100000_10000,symphony,0.704,0.4743349804248862,0.46865380057344025,0.29600000000000004
main,HLCA_Core,gpu,predict_100000_10000,atlasmtl,0.8729,0.7538766228844989,0.7385998709271958,0.11908366131799375
main,HLCA_Core,gpu,predict_100000_10000,scanvi,0.8895,0.8315157873086166,0.8383307610474728,0.11050000000000004
main,PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,atlasmtl,0.5866,0.6268299470304705,0.6432119035854491,0.30711079612567915
main,PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,reference_knn,0.4111,0.4170687446101454,0.447866137808341,0.5889
main,PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,celltypist,0.5781,0.5997685281932182,0.6509292984885514,0.42190000000000005
main,PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,singler,0.5177,0.5579630687895377,0.6121975728734065,0.47065439672801634
main,PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,symphony,0.4262,0.407667461263106,0.4748935994074448,0.5738
main,PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,atlasmtl,0.5904,0.6510108191264689,0.6703135017397137,0.3316730812768848
main,PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,scanvi,0.6016,0.6694657819664273,0.6902060707150262,0.3984
main,PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,atlasmtl,0.5724,0.6498163693737028,0.6747696215642741,0.32002851033499646
main,PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,reference_knn,0.404,0.42119884343705943,0.4528987667998969,0.596
main,PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,celltypist,0.5664,0.6044751741056567,0.6621028589788743,0.4336
main,PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,singler,0.5067,0.5529843898136848,0.6135867001349319,0.4817428659097883
main,PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,symphony,0.4102,0.4097499351967408,0.47963990358157854,0.5898
main,PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,atlasmtl,0.5791,0.6505651076532692,0.668168591509851,0.3557681610857715
main,PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,scanvi,0.5948,0.6674326685833868,0.693489033375823,0.4052
main,mTCA,cpu_core,build_100000_eval10k,atlasmtl,0.9394,0.840301766459052,0.8418226672647693,0.05511969422651375
main,mTCA,cpu_core,build_100000_eval10k,reference_knn,0.8028,0.6594406295643301,0.6695953403490257,0.19720000000000004
main,mTCA,cpu_core,build_100000_eval10k,celltypist,0.9409,0.8804975794241666,0.8821184711378751,0.05910000000000004
main,mTCA,cpu_core,build_100000_eval10k,singler,0.8471,0.7756343438019933,0.8061842395165965,0.134906045751634
main,mTCA,cpu_core,build_100000_eval10k,symphony,0.64,0.5539229042841403,0.5928567732347744,0.36
main,mTCA,gpu,build_100000_eval10k,atlasmtl,0.9407,0.8412067538410519,0.8441335772137842,0.05333601690651102
main,mTCA,gpu,build_100000_eval10k,scanvi,0.9511,0.893736716814954,0.8974558334651374,0.048900000000000055
main,mTCA,cpu_core,predict_100000_10000,atlasmtl,0.9447,0.8740905727768017,0.8705281320498788,0.05141078421528267
main,mTCA,cpu_core,predict_100000_10000,reference_knn,0.8121,0.6752167399750935,0.681309758968307,0.18789999999999996
main,mTCA,cpu_core,predict_100000_10000,celltypist,0.9407,0.8699931337580791,0.8745841802394626,0.05930000000000002
main,mTCA,cpu_core,predict_100000_10000,singler,0.8501,0.7606664258367928,0.7961868326672609,0.13378846545750966
main,mTCA,cpu_core,predict_100000_10000,symphony,0.6456,0.5356280436275656,0.5722516127205164,0.35440000000000005
main,mTCA,gpu,predict_100000_10000,atlasmtl,0.9407,0.8522576878700159,0.8539916685751371,0.05409753645047766
main,mTCA,gpu,predict_100000_10000,scanvi,0.9513,0.8798527451051019,0.8879986695659992,0.048699999999999966
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,atlasmtl,0.8889,0.7826898164454636,0.7774997487371368,0.10726122326001808
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,reference_knn,0.719,0.6088062395829428,0.578452982755712,0.281
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,celltypist,0.8817,0.8151366870565013,0.8018192349833342,0.11829999999999996
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,singler,0.7767,0.7288932081219426,0.7811745113575029,0.21091130752819265
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,symphony,0.7772,0.6388111650365027,0.6221464535268919,0.2228
main,DISCO_hPBMCs,gpu,build_100000_eval10k,atlasmtl,0.8834,0.7963642032339958,0.7892701611317211,0.11108875025155962
main,DISCO_hPBMCs,gpu,build_100000_eval10k,scanvi,0.8949,0.8411776367011713,0.8208669265753757,0.10509999999999997
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,atlasmtl,0.8914,0.81697575927861,0.8042757945157158,0.10484032938341037
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,reference_knn,0.7139,0.6099896345332084,0.5796955124496779,0.2861
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,celltypist,0.879,0.8166701405954168,0.8035876454148919,0.121
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,singler,0.7749,0.7299342729035948,0.777433684230528,0.21017225563143416
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,symphony,0.777,0.6590170501421347,0.641116058149408,0.22299999999999998
main,DISCO_hPBMCs,gpu,predict_100000_10000,atlasmtl,0.8883,0.8451989751452612,0.8282357528328793,0.10723618090452258
main,DISCO_hPBMCs,gpu,predict_100000_10000,scanvi,0.8928,0.8307800657280838,0.8041278143013577,0.10719999999999996
