dataset,track,point,scope,display_policy,notes,old_accuracy,old_macro_f1,old_balanced_accuracy,old_risk,old_train_elapsed_seconds,old_predict_elapsed_seconds,old_train_process_peak_rss_gb,old_predict_process_peak_rss_gb,old_train_gpu_peak_memory_gb,old_predict_gpu_peak_memory_gb,baseline_snapshot_source,resource_snapshot_source,scope_map_source,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,new_accuracy,new_macro_f1,new_balanced_accuracy,new_risk,new_train_elapsed_seconds,new_predict_elapsed_seconds,new_train_process_peak_rss_gb,new_predict_process_peak_rss_gb,new_train_gpu_peak_memory_gb,new_predict_gpu_peak_memory_gb,device_used,num_threads_used,delta_accuracy,delta_macro_f1,delta_balanced_accuracy,delta_risk,delta_train_elapsed_seconds,delta_predict_elapsed_seconds,delta_train_process_peak_rss_gb,delta_predict_process_peak_rss_gb,delta_train_gpu_peak_memory_gb,delta_predict_gpu_peak_memory_gb
DISCO_hPBMCs,cpu_core,build_100000_eval10k,main,headline,,0.8889,0.7826898164454636,0.7774997487371368,0.107261223260018,27.1112,0.1161,5.2408,5.5647,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.8907,0.7971108943183408,0.7884754678628844,,38.0075,0.096,5.2424,6.3553,0.0,0.0,cpu,10,0.0018000000000000238,0.014421077872877164,0.010975719125747574,,10.8963,-0.020099999999999993,0.0015999999999998238,0.7905999999999995,0.0,0.0
DISCO_hPBMCs,cpu_core,predict_100000_10000,main,headline,,0.8914,0.81697575927861,0.8042757945157158,0.1048403293834103,33.9543,0.1334,5.2435,6.1145,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.8885,0.811013719338627,0.8011506852105216,,38.3708,0.0932,5.2414,6.0281,0.0,0.0,cpu,10,-0.0029000000000000137,-0.00596203993998301,-0.0031251093051942735,,4.416499999999999,-0.040199999999999986,-0.002100000000000435,-0.08639999999999937,0.0,0.0
DISCO_hPBMCs,gpu,build_100000_eval10k,main,headline,,0.8834,0.7963642032339958,0.7892701611317211,0.1110887502515596,9.5788,0.0552,5.723,6.4312,0.0922,0.0446,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.8911,0.8025492048709063,0.7902050576705756,,8.1509,0.0558,5.7014,6.4693,0.0854,0.0443,cuda,10,0.00770000000000004,0.006185001636910492,0.0009348965388544794,,-1.4278999999999993,0.0006000000000000033,-0.021600000000000286,0.03810000000000002,-0.0068000000000000005,-0.00030000000000000165
DISCO_hPBMCs,gpu,predict_100000_10000,main,headline,,0.8883,0.8451989751452612,0.8282357528328793,0.1072361809045225,9.4562,0.0547,5.718,6.5062,0.0922,0.0446,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/DISCO_hPBMCs/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.8866,0.7909753333038116,0.7776299219187459,,7.3796,0.0554,5.7175,6.9867,0.0845,0.0446,cuda,10,-0.0016999999999999238,-0.054223641841449566,-0.0506058309141334,,-2.076600000000001,0.0006999999999999992,-0.0004999999999997229,0.48050000000000015,-0.0076999999999999985,0.0
HLCA_Core,cpu_core,build_100000_eval10k,main,headline,,0.8713,0.771325111159163,0.7493678341813332,0.1227345952476842,33.7811,0.096,5.105,6.1415,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.8709,0.7630559594111669,0.7418017763191119,,33.4657,0.1149,5.11,6.1717,0.0,0.0,cpu,10,-0.00039999999999995595,-0.00826915174799614,-0.007566057862221309,,-0.3154000000000039,0.0189,0.004999999999999893,0.03020000000000067,0.0,0.0
HLCA_Core,cpu_core,predict_100000_10000,main,headline,,0.8779,0.7578196404934759,0.7690047300256784,0.1156442026795607,36.6427,0.1272,5.1077,5.2427,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.869,0.7572660471894119,0.7509386436049179,,33.7949,0.1193,5.0992,5.2333,0.0,0.0,cpu,10,-0.008900000000000019,-0.0005535933040640151,-0.018066086420760463,,-2.8477999999999994,-0.007900000000000004,-0.008500000000000618,-0.009400000000000297,0.0,0.0
HLCA_Core,gpu,build_100000_eval10k,main,headline,,0.871,0.7616230606276972,0.7487163026377198,0.1214444220294532,8.416,0.1137,5.5698,6.8051,0.0846,0.045,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.8663,0.7564362512751619,0.7372834746121385,,8.2404,0.056,5.5772,6.8366,0.0927,0.0444,cuda,10,-0.0047000000000000375,-0.005186809352535349,-0.01143282802558132,,-0.1756000000000011,-0.057699999999999994,0.007400000000000517,0.03149999999999942,0.00810000000000001,-0.0005999999999999964
HLCA_Core,gpu,predict_100000_10000,main,headline,,0.8729,0.7538766228844989,0.7385998709271958,0.1190836613179937,7.9905,0.0574,5.5612,6.757,0.0849,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/HLCA_Core/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.8706,0.7681765059379797,0.7427386261069084,,8.3018,0.0562,5.5881,6.8351,0.0927,0.0444,cuda,10,-0.0022999999999999687,0.014299883053480844,0.004138755179712628,,0.31130000000000013,-0.0011999999999999997,0.02689999999999948,0.07810000000000006,0.007800000000000001,0.0
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,main,headline,,0.5866,0.6268299470304705,0.6432119035854491,0.3071107961256791,37.6296,0.0955,5.362,6.299,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.5885,0.6243324028940467,0.6398729108791683,,37.1321,0.1153,5.3676,5.4969,0.0,0.0,cpu,10,0.0019000000000000128,-0.0024975441364237794,-0.0033389927062807967,,-0.4975000000000023,0.019799999999999998,0.005600000000000271,-0.8021000000000003,0.0,0.0
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,main,headline,,0.5724,0.6498163693737028,0.6747696215642741,0.3200285103349964,36.6934,0.1281,5.3672,6.4392,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.5754,0.6444641323625445,0.6651453949340763,,34.0993,0.1176,5.3659,5.4976,0.0,0.0,cpu,10,0.0030000000000000027,-0.0053522370111582784,-0.009624226630197796,,-2.5940999999999974,-0.010499999999999995,-0.001300000000000523,-0.9415999999999993,0.0,0.0
PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,main,headline,,0.5904,0.6510108191264689,0.6703135017397137,0.3316730812768848,9.6157,0.0577,5.857,6.5884,0.0926,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.5817,0.6323353143741012,0.6326026484306009,,8.3429,0.1094,5.8482,7.107,0.0926,0.045,cuda,10,-0.008700000000000041,-0.018675504752367678,-0.037710853309112835,,-1.2728000000000002,0.051699999999999996,-0.008799999999999919,0.5186000000000002,0.0,0.00030000000000000165
PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,main,headline,,0.5791,0.6505651076532692,0.668168591509851,0.3557681610857715,9.5201,0.0563,5.8058,6.174,0.0855,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.5788,0.6555916691675614,0.6684802194206962,,8.126,0.0724,5.8122,6.9518,0.0926,0.0444,cuda,10,-0.00029999999999996696,0.005026561514292149,0.0003116279108452691,,-1.3941,0.016100000000000003,0.006400000000000183,0.7778,0.007099999999999995,-0.0002999999999999947
Vento,cpu_core,build_50000_eval10k,supplementary,supplementary,,0.9235,0.8964943789979851,0.8693108687135889,0.0722322684348001,14.1481,0.1201,3.1602,3.6444,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/build_50000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/build_50000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9268,0.910743442487699,0.8925373064416275,,17.1043,0.1185,3.1606,3.2227,0.0,0.0,cpu,10,0.0032999999999999696,0.014249063489713887,0.023226437728038674,,2.956199999999999,-0.0016000000000000042,0.00039999999999995595,-0.42169999999999996,0.0,0.0
Vento,cpu_core,predict_50000_10000,supplementary,supplementary,,0.9231,0.905589599517804,0.8860952015016605,0.0749574105621805,17.5694,0.1128,3.1589,3.6279,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/predict_50000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/predict_50000_10000/runs/atlasmtl/stderr.log,False,success,0.9266,0.9084876759187057,0.8913491012584593,,20.1594,0.1179,3.1605,3.435,0.0,0.0,cpu,10,0.0034999999999999476,0.0028980764009016724,0.005253899756798797,,2.59,0.005100000000000007,0.0015999999999998238,-0.19289999999999985,0.0,0.0
Vento,gpu,build_50000_eval10k,supplementary,supplementary,,0.9269,0.9132534466003164,0.8947072109730985,0.0708700882117081,4.0698,0.0825,3.5932,4.0621,0.0843,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/build_50000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/build_50000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9232,0.9165527729572829,0.903034184248676,,4.1375,0.0768,3.5845,3.7636,0.0846,0.0444,cuda,10,-0.0036999999999999256,0.0032993263569665032,0.00832697327557752,,0.06770000000000032,-0.005700000000000011,-0.008700000000000152,-0.2985000000000002,0.0002999999999999947,0.0
Vento,gpu,predict_50000_10000,supplementary,supplementary,,0.9251,0.908030507988946,0.891748537941879,0.0729532017236196,4.6618,0.0556,3.6001,4.235,0.0849,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/predict_50000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/predict_50000_10000/runs/atlasmtl/stderr.log,False,success,0.9215,0.8761290504015902,0.8599619832962355,,4.0795,0.055,3.5904,4.0873,0.0923,0.0444,cuda,10,-0.0036000000000000476,-0.03190145758735585,-0.031786554645643506,,-0.5823,-0.0005999999999999964,-0.009700000000000042,-0.1477000000000004,0.00739999999999999,0.0
mTCA,cpu_core,build_100000_eval10k,main,headline,,0.9394,0.840301766459052,0.8418226672647693,0.0551196942265137,27.0559,0.1249,5.3453,6.2585,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9391,0.8447421544779437,0.8443222921239053,,27.3697,0.0973,5.3498,6.449,0.0,0.0,cpu,10,-0.00029999999999996696,0.004440388018891683,0.002499624859136018,,0.3138000000000005,-0.0276,0.0045000000000001705,0.1905000000000001,0.0,0.0
mTCA,cpu_core,predict_100000_10000,main,headline,,0.9447,0.8740905727768017,0.8705281320498788,0.0514107842152826,33.3265,0.1098,5.3412,5.4758,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.945,0.8647472625934345,0.8639818732977165,,27.1909,0.0907,5.3478,6.4342,0.0,0.0,cpu,10,0.00029999999999996696,-0.009343310183367204,-0.006546258752162304,,-6.135600000000004,-0.019099999999999992,0.006600000000000605,0.9584000000000001,0.0,0.0
mTCA,gpu,build_100000_eval10k,main,headline,,0.9407,0.8412067538410519,0.8441335772137842,0.053336016906511,8.1451,0.0554,5.8342,6.1656,0.0923,0.0443,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9394,0.8435162994039769,0.8477635003191368,,9.535,0.0702,5.8368,6.2258,0.0852,0.0446,cuda,10,-0.0012999999999999678,0.002309545562924953,0.003629923105352595,,1.3899000000000008,0.0148,0.0026000000000001577,0.06019999999999914,-0.007099999999999995,0.00030000000000000165
mTCA,gpu,predict_100000_10000,main,headline,,0.9407,0.8522576878700159,0.8539916685751371,0.0540975364504776,8.2364,0.0563,5.8448,6.1683,0.0846,0.0443,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.9391,0.8316405800407062,0.8389099793517268,,8.1743,0.0547,5.8282,6.1604,0.0923,0.0443,cuda,10,-0.0015999999999999348,-0.0206171078293097,-0.015081689223410244,,-0.062099999999999156,-0.0016000000000000042,-0.016600000000000392,-0.00790000000000024,0.0076999999999999985,0.0
